# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.04000,0.04000,-0.10000,-0.04805,-0.00275,0.00047
0.05000,0.04000,-0.10000,-0.04793,-0.00283,0.00047
0.04000,0.05000,-0.10000,-0.04801,-0.00277,0.00042
0.03000,0.05000,-0.10000,-0.04814,-0.00263,0.00039
0.02000,0.05000,-0.10000,-0.04824,-0.00247,0.00039
0.01000,0.05000,-0.10000,-0.04831,-0.00233,0.00038
0.00000,0.05000,-0.10000,-0.04837,-0.00217,0.00038
-0.01000,0.05000,-0.10000,-0.04841,-0.00201,0.00036
-0.02000,0.05000,-0.10000,-0.04842,-0.00184,0.00033
-0.03000,0.05000,-0.10000,-0.04841,-0.00169,0.00030
-0.04000,0.05000,-0.10000,-0.04837,-0.00152,0.00027
-0.02000,0.06000,-0.10000,-0.04841,-0.00187,0.00020
-0.01000,0.06000,-0.10000,-0.04840,-0.00201,0.00023
0.00000,0.06000,-0.10000,-0.04837,-0.00216,0.00024
0.01000,0.06000,-0.10000,-0.04832,-0.00231,0.00023
0.02000,0.06000,-0.10000,-0.04825,-0.00246,0.00023
-0.03000,0.07000,-0.09000,-0.04843,-0.00176,0.00013
-0.02000,0.07000,-0.09000,-0.04843,-0.00189,0.00017
-0.01000,0.07000,-0.09000,-0.04842,-0.00200,0.00019
0.00000,0.07000,-0.09000,-0.04840,-0.00212,0.00022
0.01000,0.07000,-0.09000,-0.04836,-0.00224,0.00021
0.02000,0.07000,-0.09000,-0.04831,-0.00235,0.00019
0.03000,0.07000,-0.09000,-0.04826,-0.00247,0.00016
0.05000,0.06000,-0.09000,-0.04791,-0.00276,0.00022
0.04000,0.06000,-0.09000,-0.04805,-0.00263,0.00024
0.03000,0.06000,-0.09000,-0.04816,-0.00251,0.00026
0.02000,0.06000,-0.09000,-0.04824,-0.00238,0.00028
0.01000,0.06000,-0.09000,-0.04830,-0.00226,0.00029
0.00000,0.06000,-0.09000,-0.04835,-0.00212,0.00028
-0.01000,0.06000,-0.09000,-0.04837,-0.00200,0.00026
-0.02000,0.06000,-0.09000,-0.04838,-0.00187,0.00024
-0.03000,0.06000,-0.09000,-0.04837,-0.00173,0.00018
-0.04000,0.06000,-0.09000,-0.04834,-0.00160,0.00013
-0.05000,0.06000,-0.09000,-0.04827,-0.00145,0.00009
-0.06000,0.05000,-0.09000,-0.04818,-0.00129,0.00018
-0.05000,0.05000,-0.09000,-0.04825,-0.00142,0.00021
-0.04000,0.05000,-0.09000,-0.04830,-0.00157,0.00023
-0.03000,0.05000,-0.09000,-0.04834,-0.00172,0.00028
-0.02000,0.05000,-0.09000,-0.04836,-0.00185,0.00031
-0.01000,0.05000,-0.09000,-0.04835,-0.00199,0.00034
0.00000,0.05000,-0.09000,-0.04832,-0.00213,0.00036
0.01000,0.05000,-0.09000,-0.04828,-0.00226,0.00037
0.02000,0.05000,-0.09000,-0.04821,-0.00240,0.00038
0.03000,0.05000,-0.09000,-0.04813,-0.00252,0.00039
0.04000,0.05000,-0.09000,-0.04801,-0.00265,0.00038
0.05000,0.05000,-0.09000,-0.04789,-0.00275,0.00041
0.06000,0.05000,-0.09000,-0.04775,-0.00284,0.00046
0.06000,0.04000,-0.09000,-0.04779,-0.00279,0.00049
0.05000,0.04000,-0.09000,-0.04789,-0.00273,0.00048
0.04000,0.04000,-0.09000,-0.04800,-0.00265,0.00048
0.03000,0.04000,-0.09000,-0.04812,-0.00253,0.00047
0.02000,0.04000,-0.09000,-0.04820,-0.00240,0.00047
0.01000,0.04000,-0.09000,-0.04828,-0.00226,0.00045
0.00000,0.04000,-0.09000,-0.04832,-0.00213,0.00043
-0.01000,0.04000,-0.09000,-0.04835,-0.00198,0.00042
-0.02000,0.04000,-0.09000,-0.04835,-0.00184,0.00039
-0.03000,0.04000,-0.09000,-0.04834,-0.00169,0.00036
-0.04000,0.04000,-0.09000,-0.04830,-0.00154,0.00031
-0.05000,0.04000,-0.09000,-0.04824,-0.00140,0.00027
-0.06000,0.04000,-0.09000,-0.04818,-0.00126,0.00023
-0.07000,0.03000,-0.09000,-0.04805,-0.00108,0.00021
-0.06000,0.03000,-0.09000,-0.04814,-0.00122,0.00029
-0.05000,0.03000,-0.09000,-0.04822,-0.00136,0.00033
-0.04000,0.03000,-0.09000,-0.04829,-0.00151,0.00037
-0.03000,0.03000,-0.09000,-0.04833,-0.00167,0.00041
-0.02000,0.03000,-0.09000,-0.04836,-0.00182,0.00045
-0.01000,0.03000,-0.09000,-0.04835,-0.00197,0.00049
0.00000,0.03000,-0.09000,-0.04832,-0.00213,0.00051
0.01000,0.03000,-0.09000,-0.04827,-0.00226,0.00053
0.02000,0.03000,-0.09000,-0.04820,-0.00241,0.00054
0.03000,0.03000,-0.09000,-0.04811,-0.00254,0.00054
0.04000,0.03000,-0.09000,-0.04800,-0.00266,0.00056
0.05000,0.03000,-0.09000,-0.04788,-0.00276,0.00056
0.06000,0.03000,-0.09000,-0.04776,-0.00283,0.00054
0.07000,0.03000,-0.09000,-0.04764,-0.00290,0.00049
0.07000,0.02000,-0.09000,-0.04758,-0.00296,0.00069
0.06000,0.02000,-0.09000,-0.04773,-0.00286,0.00069
0.05000,0.02000,-0.09000,-0.04787,-0.00277,0.00069
0.04000,0.02000,-0.09000,-0.04800,-0.00265,0.00067
0.03000,0.02000,-0.09000,-0.04811,-0.00254,0.00065
0.02000,0.02000,-0.09000,-0.04821,-0.00242,0.00064
0.01000,0.02000,-0.09000,-0.04828,-0.00227,0.00062
0.00000,0.02000,-0.09000,-0.04833,-0.00212,0.00059
-0.01000,0.02000,-0.09000,-0.04835,-0.00195,0.00057
-0.02000,0.02000,-0.09000,-0.04835,-0.00180,0.00053
-0.03000,0.02000,-0.09000,-0.04833,-0.00164,0.00050
-0.04000,0.02000,-0.09000,-0.04827,-0.00150,0.00047
-0.05000,0.02000,-0.09000,-0.04820,-0.00134,0.00043
-0.06000,0.02000,-0.09000,-0.04810,-0.00120,0.00040
-0.07000,0.02000,-0.09000,-0.04800,-0.00104,0.00036
-0.07000,0.01000,-0.09000,-0.04800,-0.00105,0.00052
-0.06000,0.01000,-0.09000,-0.04810,-0.00119,0.00052
-0.05000,0.01000,-0.09000,-0.04819,-0.00132,0.00053
-0.04000,0.01000,-0.09000,-0.04827,-0.00147,0.00056
-0.03000,0.01000,-0.09000,-0.04833,-0.00163,0.00058
-0.02000,0.01000,-0.09000,-0.04836,-0.00179,0.00061
-0.01000,0.01000,-0.09000,-0.04837,-0.00194,0.00065
0.00000,0.01000,-0.09000,-0.04835,-0.00211,0.00067
0.01000,0.01000,-0.09000,-0.04830,-0.00225,0.00070
0.02000,0.01000,-0.09000,-0.04823,-0.00240,0.00072
0.03000,0.01000,-0.09000,-0.04813,-0.00254,0.00074
0.04000,0.01000,-0.09000,-0.04803,-0.00266,0.00078
0.05000,0.01000,-0.09000,-0.04790,-0.00276,0.00080
0.06000,0.01000,-0.09000,-0.04776,-0.00284,0.00084
0.07000,0.01000,-0.09000,-0.04765,-0.00291,0.00088
0.07000,-0.00000,-0.09000,-0.04774,-0.00288,0.00097
0.06000,-0.00000,-0.09000,-0.04783,-0.00282,0.00093
0.05000,-0.00000,-0.09000,-0.04795,-0.00274,0.00091
0.04000,-0.00000,-0.09000,-0.04806,-0.00263,0.00087
0.03000,-0.00000,-0.09000,-0.04817,-0.00252,0.00084
0.02000,-0.00000,-0.09000,-0.04826,-0.00239,0.00081
0.01000,-0.00000,-0.09000,-0.04833,-0.00224,0.00077
0.00000,-0.00000,-0.09000,-0.04838,-0.00209,0.00075
-0.01000,-0.00000,-0.09000,-0.04840,-0.00195,0.00072
-0.02000,-0.00000,-0.09000,-0.04838,-0.00178,0.00071
-0.03000,-0.00000,-0.09000,-0.04835,-0.00162,0.00068
-0.04000,0.00000,-0.09000,-0.04829,-0.00147,0.00066
-0.05000,0.00000,-0.09000,-0.04821,-0.00132,0.00064
-0.06000,0.00000,-0.09000,-0.04812,-0.00119,0.00063
-0.07000,0.00000,-0.09000,-0.04803,-0.00108,0.00062
-0.07000,-0.01000,-0.09000,-0.04804,-0.00108,0.00073
-0.06000,-0.01000,-0.09000,-0.04814,-0.00121,0.00074
-0.05000,-0.01000,-0.09000,-0.04823,-0.00133,0.00075
-0.04000,-0.01000,-0.09000,-0.04831,-0.00146,0.00077
-0.03000,-0.01000,-0.09000,-0.04837,-0.00161,0.00076
-0.02000,-0.01000,-0.09000,-0.04842,-0.00178,0.00079
-0.01000,-0.01000,-0.09000,-0.04842,-0.00192,0.00081
0.00000,-0.01000,-0.09000,-0.04841,-0.00209,0.00084
0.01000,-0.01000,-0.09000,-0.04837,-0.00222,0.00086
0.02000,-0.01000,-0.09000,-0.04830,-0.00236,0.00089
0.03000,-0.01000,-0.09000,-0.04822,-0.00250,0.00094
0.04000,-0.01000,-0.09000,-0.04811,-0.00262,0.00097
0.05000,-0.01000,-0.09000,-0.04799,-0.00272,0.00101
0.06000,-0.01000,-0.09000,-0.04788,-0.00282,0.00104
0.07000,-0.01000,-0.09000,-0.04777,-0.00291,0.00103
0.07000,-0.02000,-0.09000,-0.04783,-0.00293,0.00122
0.06000,-0.02000,-0.09000,-0.04795,-0.00281,0.00119
0.05000,-0.02000,-0.09000,-0.04807,-0.00270,0.00113
0.04000,-0.02000,-0.09000,-0.04818,-0.00260,0.00108
0.03000,-0.02000,-0.09000,-0.04828,-0.00248,0.00104
0.02000,-0.02000,-0.09000,-0.04836,-0.00234,0.00099
0.01000,-0.02000,-0.09000,-0.04842,-0.00221,0.00094
0.00000,-0.02000,-0.09000,-0.04846,-0.00207,0.00093
-0.01000,-0.02000,-0.09000,-0.04848,-0.00192,0.00091
-0.02000,-0.02000,-0.09000,-0.04846,-0.00177,0.00089
-0.03000,-0.02000,-0.09000,-0.04843,-0.00163,0.00088
-0.04000,-0.02000,-0.09000,-0.04837,-0.00148,0.00088
-0.05000,-0.02000,-0.09000,-0.04828,-0.00134,0.00088
-0.06000,-0.02000,-0.09000,-0.04820,-0.00122,0.00089
-0.07000,-0.02000,-0.09000,-0.04809,-0.00109,0.00091
-0.07000,-0.03000,-0.09000,-0.04822,-0.00115,0.00108
-0.06000,-0.03000,-0.09000,-0.04830,-0.00126,0.00103
-0.05000,-0.03000,-0.09000,-0.04838,-0.00139,0.00100
-0.04000,-0.03000,-0.09000,-0.04845,-0.00150,0.00099
-0.03000,-0.03000,-0.09000,-0.04850,-0.00164,0.00097
-0.02000,-0.03000,-0.09000,-0.04854,-0.00178,0.00097
-0.01000,-0.03000,-0.09000,-0.04855,-0.00192,0.00098
-0.00000,-0.03000,-0.09000,-0.04853,-0.00206,0.00100
0.01000,-0.03000,-0.09000,-0.04850,-0.00220,0.00103
0.02000,-0.03000,-0.09000,-0.04844,-0.00232,0.00108
0.03000,-0.03000,-0.09000,-0.04836,-0.00244,0.00113
0.04000,-0.03000,-0.09000,-0.04828,-0.00255,0.00118
0.05000,-0.03000,-0.09000,-0.04819,-0.00265,0.00124
0.06000,-0.03000,-0.09000,-0.04810,-0.00275,0.00133
0.07000,-0.03000,-0.09000,-0.04800,-0.00288,0.00143
0.06000,-0.04000,-0.09000,-0.04825,-0.00269,0.00135
0.05000,-0.04000,-0.09000,-0.04832,-0.00260,0.00131
0.04000,-0.04000,-0.09000,-0.04839,-0.00250,0.00125
0.03000,-0.04000,-0.09000,-0.04847,-0.00240,0.00120
0.02000,-0.04000,-0.09000,-0.04853,-0.00230,0.00114
0.01000,-0.04000,-0.09000,-0.04859,-0.00219,0.00110
-0.00000,-0.04000,-0.09000,-0.04862,-0.00206,0.00108
-0.01000,-0.04000,-0.09000,-0.04863,-0.00193,0.00105
-0.02000,-0.04000,-0.09000,-0.04863,-0.00180,0.00105
-0.03000,-0.04000,-0.09000,-0.04860,-0.00166,0.00105
-0.04000,-0.04000,-0.09000,-0.04855,-0.00155,0.00107
-0.05000,-0.04000,-0.09000,-0.04850,-0.00142,0.00109
-0.06000,-0.04000,-0.09000,-0.04843,-0.00131,0.00110
-0.06000,-0.05000,-0.09000,-0.04855,-0.00134,0.00114
-0.05000,-0.05000,-0.09000,-0.04862,-0.00145,0.00115
-0.04000,-0.05000,-0.09000,-0.04867,-0.00158,0.00112
-0.03000,-0.05000,-0.09000,-0.04871,-0.00170,0.00112
-0.02000,-0.05000,-0.09000,-0.04873,-0.00181,0.00111
-0.01000,-0.05000,-0.09000,-0.04873,-0.00193,0.00111
-0.00000,-0.05000,-0.09000,-0.04872,-0.00204,0.00114
0.01000,-0.05000,-0.09000,-0.04868,-0.00216,0.00116
0.02000,-0.05000,-0.09000,-0.04863,-0.00227,0.00120
0.03000,-0.05000,-0.09000,-0.04858,-0.00238,0.00125
0.04000,-0.05000,-0.09000,-0.04851,-0.00248,0.00131
0.05000,-0.05000,-0.09000,-0.04842,-0.00258,0.00135
0.06000,-0.05000,-0.09000,-0.04833,-0.00270,0.00136
0.05000,-0.06000,-0.09000,-0.04854,-0.00258,0.00149
0.04000,-0.06000,-0.09000,-0.04865,-0.00244,0.00142
0.03000,-0.06000,-0.09000,-0.04872,-0.00234,0.00134
0.02000,-0.06000,-0.09000,-0.04878,-0.00223,0.00128
0.01000,-0.06000,-0.09000,-0.04882,-0.00214,0.00124
-0.00000,-0.06000,-0.09000,-0.04884,-0.00204,0.00119
-0.01000,-0.06000,-0.09000,-0.04886,-0.00194,0.00117
-0.02000,-0.06000,-0.09000,-0.04886,-0.00184,0.00116
