# COSI2 B0 scan
# time 2024-08-12 14:51:30.992518
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_ALONG_field_12pts_R120_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-30.014,-100.001,49.987,-47.5400,-0.9800,-0.5500,47.5530
-40.014,-100.001,49.987,-47.5420,-0.9900,-0.5600,47.5560
-40.014,-100.001,39.987,-47.5290,-0.9900,-0.5400,47.5390
-40.014,-100.001,29.987,-47.5190,-0.9700,-0.5400,47.5370
-40.014,-100.001,19.987,-47.5160,-0.9700,-0.5300,47.5300
-40.014,-100.001,9.987,-47.5160,-0.9700,-0.5100,47.5270
-40.014,-100.001,-0.013,-47.5180,-0.9700,-0.5100,47.5280
-40.014,-100.001,-10.013,-47.5220,-0.9700,-0.4900,47.5320
-40.014,-100.001,-20.013,-47.5310,-0.9700,-0.4800,47.5430
-40.014,-100.001,-30.013,-47.5520,-0.9700,-0.4700,47.5640
-40.014,-100.001,-40.013,-47.5550,-0.9900,-0.4700,47.5670
-40.014,-100.001,-50.013,-47.5660,-1.0000,-0.4500,47.5790
-50.014,-100.001,-40.013,-47.5610,-1.0000,-0.4400,47.5730
-50.014,-100.001,-30.013,-47.5410,-0.9800,-0.4500,47.5530
-50.014,-100.001,-20.013,-47.5280,-0.9700,-0.4700,47.5400
-50.014,-100.001,-10.013,-47.5200,-0.9700,-0.4800,47.5320
-50.014,-100.001,-0.013,-47.5080,-0.9600,-0.4900,47.5200
-50.014,-100.001,9.987,-47.5060,-0.9700,-0.5100,47.5190
-50.014,-100.001,19.987,-47.5010,-0.9700,-0.5300,47.5140
-50.014,-100.001,29.987,-47.5070,-0.9800,-0.5500,47.5200
-50.014,-100.001,39.987,-47.5140,-0.9800,-0.5600,47.5280
-60.014,-100.001,19.987,-47.5000,-0.9700,-0.5500,47.5130
-60.014,-100.001,9.987,-47.4790,-0.9600,-0.5200,47.4920
-60.014,-100.001,-0.013,-47.4840,-0.9600,-0.5000,47.4990
-60.014,-100.001,-10.013,-47.4960,-0.9600,-0.4700,47.5050
-60.014,-100.001,-20.013,-47.5030,-0.9600,-0.4500,47.5110
-70.014,-90.001,29.987,-47.4710,-0.9800,-0.5800,47.4850
-70.014,-90.001,19.987,-47.4660,-0.9700,-0.5500,47.4760
-70.014,-90.001,9.987,-47.4650,-0.9800,-0.5200,47.4780
-70.014,-90.001,-0.013,-47.4670,-0.9600,-0.5100,47.4810
-70.014,-90.001,-10.013,-47.4740,-0.9600,-0.4800,47.4850
-70.014,-90.001,-20.013,-47.4810,-0.9600,-0.4500,47.4920
-70.014,-90.001,-30.013,-47.4930,-0.9600,-0.4200,47.5040
-60.014,-90.001,-50.013,-47.5150,-0.9600,-0.4100,47.5260
-60.014,-90.001,-40.013,-47.5440,-0.9900,-0.4100,47.5560
-60.014,-90.001,-30.013,-47.5200,-0.9700,-0.4400,47.5320
-60.014,-90.001,-20.013,-47.5120,-0.9700,-0.4500,47.5240
-60.014,-90.001,-10.013,-47.5000,-0.9700,-0.4700,47.5120
-60.014,-90.001,-0.013,-47.4880,-0.9700,-0.5000,47.5010
-60.014,-90.001,9.987,-47.4890,-0.9600,-0.5100,47.5020
-60.014,-90.001,19.987,-47.4860,-0.9800,-0.5400,47.5000
-60.014,-90.001,29.987,-47.4920,-0.9900,-0.5500,47.5060
-60.014,-90.001,39.987,-47.5010,-0.9800,-0.5700,47.5150
-60.014,-90.001,49.987,-47.5170,-0.9800,-0.5900,47.5290
-50.014,-90.001,59.987,-47.5420,-0.9900,-0.5800,47.5560
-50.014,-90.001,49.987,-47.5410,-0.9900,-0.5700,47.5570
-50.014,-90.001,39.987,-47.5240,-0.9800,-0.5600,47.5380
-50.014,-90.001,29.987,-47.5130,-0.9700,-0.5500,47.5260
-50.014,-90.001,19.987,-47.5090,-0.9800,-0.5300,47.5230
-50.014,-90.001,9.987,-47.5040,-0.9700,-0.5300,47.5170
-50.014,-90.001,-0.013,-47.5060,-0.9600,-0.5000,47.5190
-50.014,-90.001,-10.013,-47.5070,-0.9700,-0.4900,47.5200
-50.014,-90.001,-20.013,-47.5160,-0.9700,-0.4700,47.5280
-50.014,-90.001,-30.013,-47.5300,-0.9700,-0.4600,47.5430
-50.014,-90.001,-40.013,-47.5470,-0.9800,-0.4400,47.5590
