# COSI2 B0 scan
# time 2024-09-10 10:16:08.266727
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-40.120,-90.091,29.971,-47.2640,-2.0300,-0.8700,47.3160
-40.120,-90.091,39.971,-47.2750,-2.0300,-0.8700,47.3270
-40.120,-90.091,49.971,-47.2940,-2.0500,-0.8900,47.3470
-40.120,-90.091,59.971,-47.3210,-2.0500,-0.8900,47.3740
-30.120,-90.091,69.971,-47.3410,-2.0700,-0.8800,47.3940
-30.120,-90.091,59.971,-47.3340,-2.0600,-0.8900,47.3880
-30.120,-90.091,49.971,-47.3140,-2.0500,-0.8900,47.3660
-30.120,-90.091,39.971,-47.2960,-2.0400,-0.8800,47.3520
-30.120,-90.091,29.971,-47.2810,-2.0300,-0.8700,47.3330
-30.120,-90.091,19.971,-47.2680,-2.0300,-0.8700,47.3190
-30.120,-90.091,9.971,-47.2640,-2.0200,-0.8600,47.3160
-30.120,-90.091,-0.029,-47.2570,-2.0200,-0.8600,47.3100
-30.120,-90.091,-10.029,-47.2590,-2.0100,-0.8300,47.3100
-30.120,-90.091,-20.029,-47.2670,-2.0000,-0.8400,47.3140
-30.120,-90.091,-30.029,-47.2690,-2.0100,-0.8200,47.3190
-30.120,-90.091,-40.029,-47.2780,-2.0100,-0.8200,47.3260
-30.120,-90.091,-50.029,-47.2880,-2.0000,-0.8200,47.3350
-30.120,-90.091,-60.029,-47.2990,-2.0000,-0.8200,47.3440
-30.120,-90.091,-70.029,-47.3080,-1.9900,-0.8100,47.3570
-20.120,-90.091,-70.029,-47.3040,-2.0000,-0.8400,47.3540
-20.120,-90.091,-60.029,-47.2990,-2.0000,-0.8400,47.3510
-20.120,-90.091,-50.029,-47.2970,-2.0000,-0.8300,47.3470
-20.120,-90.091,-40.029,-47.2910,-2.0000,-0.8400,47.3420
-20.120,-90.091,-30.029,-47.2810,-2.0000,-0.8400,47.3310
-20.120,-90.091,-20.029,-47.2770,-2.0100,-0.8400,47.3270
-20.120,-90.091,-10.029,-47.2680,-2.0100,-0.8500,47.3190
-20.120,-90.091,-0.029,-47.2620,-2.0100,-0.8400,47.3120
-20.120,-90.091,9.971,-47.2670,-2.0100,-0.8600,47.3180
-20.120,-90.091,19.971,-47.2670,-2.0300,-0.8600,47.3180
-20.120,-90.091,29.971,-47.2760,-2.0500,-0.8700,47.3290
-20.120,-90.091,39.971,-47.2860,-2.0400,-0.8700,47.3370
-20.120,-90.091,49.971,-47.3030,-2.0500,-0.8800,47.3560
-20.120,-90.091,59.971,-47.3200,-2.0500,-0.8900,47.3730
-20.120,-90.091,69.971,-47.3370,-2.0600,-0.8800,47.3910
-10.120,-90.091,69.971,-47.3530,-2.0600,-0.8800,47.4060
-10.120,-90.091,59.971,-47.3400,-2.0600,-0.8800,47.3930
-10.120,-90.091,49.971,-47.3230,-2.0500,-0.8600,47.3750
-10.120,-90.091,39.971,-47.3090,-2.0400,-0.8600,47.3610
-10.120,-90.091,29.971,-47.2900,-2.0300,-0.8600,47.3420
-10.120,-90.091,19.971,-47.2820,-2.0300,-0.8600,47.3330
-10.120,-90.091,9.971,-47.2710,-2.0200,-0.8700,47.3220
-10.120,-90.091,-0.029,-47.2690,-2.0200,-0.8500,47.3200
-10.120,-90.091,-10.029,-47.2700,-2.0200,-0.8500,47.3200
-10.120,-90.091,-20.029,-47.2730,-2.0000,-0.8500,47.3230
-10.120,-90.091,-30.029,-47.2710,-2.0000,-0.8500,47.3210
-10.120,-90.091,-40.029,-47.2790,-1.9900,-0.8500,47.3290
-10.120,-90.091,-50.029,-47.2850,-1.9900,-0.8600,47.3350
-10.120,-90.091,-60.029,-47.2930,-2.0000,-0.8600,47.3420
-10.120,-90.091,-70.029,-47.3050,-1.9900,-0.8600,47.3530
-0.120,-90.091,-70.029,-47.2990,-1.9900,-0.8700,47.3500
-0.120,-90.091,-60.029,-47.2870,-1.9900,-0.8800,47.3380
