X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
212.35, 250.54, 79.30, 3.708000, -48.683000, 1.242000
201.91, 250.54, 79.30, 3.548000, -48.663000, 1.199000
191.48, 250.54, 79.30, 3.387000, -48.606000, 1.194000
181.04, 250.54, 79.30, 3.258000, -48.542000, 1.146000
170.61, 250.54, 79.30, 3.100000, -48.440000, 1.106000
160.17, 260.98, 79.30, 2.983000, -48.419000, 1.035000
170.61, 260.98, 79.30, 3.016000, -48.487000, 1.072000
181.04, 260.98, 79.30, 3.149000, -48.568000, 1.106000
191.48, 260.98, 79.30, 3.290000, -48.633000, 1.143000
201.91, 260.98, 79.30, 3.446000, -48.678000, 1.171000
212.35, 260.98, 79.30, 3.573000, -48.701000, 1.189000
222.78, 260.98, 79.30, 3.725000, -48.698000, 1.220000
233.22, 260.98, 79.30, 3.880000, -48.666000, 1.222000
243.65, 260.98, 79.30, 4.036000, -48.611000, 1.239000
254.09, 260.98, 79.30, 4.150000, -48.531000, 1.244000
264.52, 260.98, 79.30, 4.290000, -48.436000, 1.244000
274.96, 260.98, 79.30, 4.406000, -48.319000, 1.253000
285.39, 260.98, 79.30, 4.502000, -48.216000, 1.249000
295.83, 260.98, 79.30, 4.563000, -48.110000, 1.254000
295.83, 271.41, 79.30, 4.598000, -48.065000, 1.293000
285.39, 271.41, 79.30, 4.584000, -48.195000, 1.215000
274.96, 271.41, 79.30, 4.490000, -48.323000, 1.194000
264.52, 271.41, 79.30, 4.396000, -48.448000, 1.187000
254.09, 271.41, 79.30, 4.269000, -48.534000, 1.183000
243.65, 271.41, 79.30, 4.134000, -48.611000, 1.195000
233.22, 271.41, 79.30, 3.990000, -48.666000, 1.191000
222.78, 271.41, 79.30, 3.874000, -48.706000, 1.186000
212.35, 271.41, 79.30, 3.724000, -48.705000, 1.158000
201.91, 271.41, 79.30, 3.569000, -48.687000, 1.137000
191.48, 271.41, 79.30, 3.422000, -48.655000, 1.118000
181.04, 271.41, 79.30, 3.299000, -48.593000, 1.065000
181.04, 281.85, 79.30, 3.233000, -48.596000, 0.989000
191.48, 281.85, 79.30, 3.325000, -48.677000, 1.019000
201.91, 281.85, 79.30, 3.450000, -48.713000, 1.061000
212.35, 281.85, 79.30, 3.601000, -48.725000, 1.085000
222.78, 281.85, 79.30, 3.750000, -48.714000, 1.121000
233.22, 281.85, 79.30, 3.891000, -48.694000, 1.118000
243.65, 281.85, 79.30, 4.000000, -48.655000, 1.127000
254.09, 281.85, 79.30, 4.136000, -48.583000, 1.114000
264.52, 281.85, 79.30, 4.269000, -48.481000, 1.099000
274.96, 281.85, 79.30, 4.401000, -48.362000, 1.053000
274.96, 292.28, 79.30, 4.427000, -48.475000, 0.913000
264.52, 292.28, 79.30, 4.341000, -48.573000, 1.000000
254.09, 292.28, 79.30, 4.220000, -48.655000, 1.041000
243.65, 292.28, 79.30, 4.100000, -48.708000, 1.061000
233.22, 292.28, 79.30, 4.001000, -48.742000, 1.067000
222.78, 292.28, 79.30, 3.878000, -48.772000, 1.064000
212.35, 292.28, 79.30, 3.750000, -48.783000, 1.041000
201.91, 292.28, 79.30, 3.616000, -48.783000, 1.024000
212.35, 302.72, 79.30, 3.652000, -48.846000, 1.063000
222.78, 302.72, 79.30, 3.784000, -48.830000, 1.083000
233.22, 302.72, 79.30, 3.896000, -48.805000, 1.076000
243.65, 302.72, 79.30, 3.992000, -48.786000, 1.093000
212.35, 323.59, 89.74, 3.733000, -48.686000, 1.061000
222.78, 323.59, 89.74, 3.738000, -48.679000, 1.058000
233.22, 323.59, 89.74, 3.848000, -48.662000, 1.064000
243.65, 323.59, 89.74, 3.950000, -48.623000, 1.071000
274.96, 313.15, 89.74, 4.251000, -48.513000, 1.221000
264.52, 313.15, 89.74, 4.231000, -48.563000, 1.169000
254.09, 313.15, 89.74, 4.150000, -48.613000, 1.152000
243.65, 313.15, 89.74, 4.049000, -48.669000, 1.132000
233.22, 313.15, 89.74, 3.942000, -48.698000, 1.135000
222.78, 313.15, 89.74, 3.838000, -48.704000, 1.124000
212.35, 313.15, 89.74, 3.752000, -48.712000, 1.118000
201.91, 313.15, 89.74, 3.640000, -48.703000, 1.109000
170.61, 302.72, 89.74, 3.397000, -48.669000, 1.004000
181.04, 302.72, 89.74, 3.390000, -48.678000, 1.038000
191.48, 302.72, 89.74, 3.464000, -48.693000, 1.065000
201.91, 302.72, 89.74, 3.556000, -48.702000, 1.086000
212.35, 302.72, 89.74, 3.643000, -48.710000, 1.096000
222.78, 302.72, 89.74, 3.753000, -48.709000, 1.115000
233.22, 302.72, 89.74, 3.863000, -48.692000, 1.131000
243.65, 302.72, 89.74, 3.969000, -48.662000, 1.116000
254.09, 302.72, 89.74, 4.048000, -48.625000, 1.132000
264.52, 302.72, 89.74, 4.147000, -48.568000, 1.119000
274.96, 302.72, 89.74, 4.238000, -48.519000, 1.118000
285.39, 302.72, 89.74, 4.304000, -48.481000, 1.086000
306.26, 292.28, 89.74, 4.457000, -48.148000, 0.703000
295.83, 292.28, 89.74, 4.474000, -48.253000, 0.896000
285.39, 292.28, 89.74, 4.408000, -48.338000, 1.017000
274.96, 292.28, 89.74, 4.333000, -48.434000, 1.073000
