# COSI2 B0 scan,,,,,,
# time 2024-05-22 18:55:30.362520,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
279.03,104.43,236.47,-47.531,-0.842,1.975,47.58
289.7,104.43,236.47,-47.536,-0.831,1.965,47.583
300.37,104.43,236.47,-47.551,-0.826,1.965,47.599
300.37,93.77,236.47,-47.542,-0.826,1.952,47.588
289.7,93.77,236.47,-47.527,-0.835,1.957,47.575
279.03,93.77,236.47,-47.521,-0.842,1.968,47.57
268.37,93.77,236.47,-47.517,-0.847,1.976,47.566
257.7,93.77,236.47,-47.513,-0.855,1.974,47.561
247.03,93.77,236.47,-47.512,-0.864,1.978,47.558
236.37,93.77,236.47,-47.509,-0.864,1.99,47.557
225.7,93.77,236.47,-47.513,-0.868,1.991,47.562
215.03,93.77,236.47,-47.522,-0.875,1.995,47.569
204.37,93.77,236.47,-47.521,-0.881,1.999,47.57
204.37,83.1,236.47,-47.512,-0.88,2.007,47.565
215.03,83.1,236.47,-47.514,-0.881,1.995,47.563
225.7,83.1,236.47,-47.506,-0.877,1.988,47.555
236.37,83.1,236.47,-47.502,-0.867,1.988,47.552
247.03,83.1,236.47,-47.499,-0.861,1.977,47.548
257.7,83.1,236.47,-47.508,-0.856,1.968,47.556
268.37,83.1,236.47,-47.51,-0.854,1.963,47.558
279.03,83.1,236.47,-47.519,-0.847,1.956,47.567
257.7,72.43,236.47,-47.502,-0.856,1.971,47.546
247.03,72.43,236.47,-47.5,-0.868,1.976,47.546
215.03,61.77,247.13,-47.504,-0.874,1.983,47.553
225.7,61.77,247.13,-47.503,-0.876,1.983,47.553
236.37,61.77,247.13,-47.5,-0.876,1.967,47.549
247.03,61.77,247.13,-47.501,-0.859,1.962,47.55
257.7,61.77,247.13,-47.502,-0.86,1.953,47.551
