# COSI2 B0 scan
# time 2024-08-22 11:33:15.437139
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
12.014,-83.962,11.977,-47.2870,-0.8000,0.4000,47.2960
12.014,-83.962,-0.023,-47.2810,-0.8000,0.4100,47.2900
12.014,-83.962,-12.023,-47.2770,-0.7900,0.4000,47.2850
12.014,-83.962,-24.023,-47.2740,-0.8000,0.3900,47.2830
12.014,-83.962,-36.023,-47.2830,-0.7900,0.4000,47.2920
12.014,-83.962,-48.023,-47.2800,-0.8000,0.3900,47.2890
12.014,-83.962,-60.023,-47.2770,-0.8000,0.3900,47.2860
12.014,-83.962,-72.023,-47.2820,-0.8000,0.3800,47.2890
12.014,-83.962,-84.023,-47.2800,-0.7900,0.3600,47.2880
24.014,-83.962,-72.023,-47.2710,-0.7900,0.3700,47.2790
24.014,-83.962,-60.023,-47.2710,-0.7800,0.3900,47.2790
24.014,-83.962,-48.023,-47.2710,-0.7900,0.3800,47.2790
24.014,-83.962,-36.023,-47.2700,-0.7900,0.3900,47.2780
24.014,-83.962,-24.023,-47.2690,-0.7900,0.3900,47.2760
24.014,-83.962,-12.023,-47.2800,-0.8000,0.4000,47.2820
24.014,-83.962,-0.023,-47.2750,-0.8000,0.4200,47.2820
24.014,-83.962,11.977,-47.2850,-0.8000,0.4000,47.2860
24.014,-83.962,23.977,-47.2830,-0.8000,0.4100,47.2910
24.014,-83.962,35.977,-47.2880,-0.8000,0.4000,47.2970
24.014,-83.962,47.977,-47.2930,-0.8000,0.4100,47.3020
24.014,-83.962,59.977,-47.3050,-0.7900,0.4000,47.3130
24.014,-83.962,71.977,-47.3070,-0.8000,0.4100,47.3150
36.014,-83.962,71.977,-47.3020,-0.8000,0.4000,47.3110
36.014,-83.962,59.977,-47.3100,-0.8000,0.4100,47.3180
