X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
301.14, 144.75, 188.71, -47.507000, -2.033000, -0.295000
311.57, 144.75, 188.71, -47.496000, -2.034000, -0.308000
322.01, 144.75, 188.71, -47.494000, -2.028000, -0.324000
332.44, 144.75, 188.71, -47.484000, -2.028000, -0.331000
342.88, 155.18, 188.71, -47.498000, -2.055000, -0.337000
332.44, 155.18, 188.71, -47.497000, -2.043000, -0.326000
322.01, 155.18, 188.71, -47.503000, -2.039000, -0.306000
311.57, 155.18, 188.71, -47.505000, -2.032000, -0.300000
301.14, 155.18, 188.71, -47.511000, -2.037000, -0.294000
290.70, 155.18, 188.71, -47.515000, -2.030000, -0.291000
280.27, 155.18, 188.71, -47.516000, -2.021000, -0.293000
269.83, 155.18, 188.71, -47.510000, -2.015000, -0.283000
259.40, 155.18, 188.71, -47.512000, -2.017000, -0.280000
248.96, 155.18, 188.71, -47.511000, -2.018000, -0.268000
238.53, 155.18, 188.71, -47.520000, -2.014000, -0.275000
228.09, 155.18, 188.71, -47.523000, -2.002000, -0.278000
217.66, 155.18, 188.71, -47.532000, -1.994000, -0.268000
207.22, 155.18, 188.71, -47.534000, -1.981000, -0.287000
196.79, 155.18, 188.71, -47.536000, -1.981000, -0.281000
186.35, 155.18, 188.71, -47.537000, -1.969000, -0.269000
175.92, 165.62, 188.71, -47.542000, -1.969000, -0.288000
186.35, 165.62, 188.71, -47.543000, -1.976000, -0.291000
196.79, 165.62, 188.71, -47.536000, -1.987000, -0.280000
207.22, 165.62, 188.71, -47.533000, -1.996000, -0.292000
217.66, 165.62, 188.71, -47.529000, -2.000000, -0.281000
228.09, 165.62, 188.71, -47.527000, -2.003000, -0.271000
238.53, 165.62, 188.71, -47.523000, -2.010000, -0.278000
248.96, 165.62, 188.71, -47.524000, -2.020000, -0.273000
259.40, 165.62, 188.71, -47.519000, -2.016000, -0.281000
269.83, 165.62, 188.71, -47.517000, -2.029000, -0.293000
280.27, 165.62, 188.71, -47.514000, -2.028000, -0.289000
290.70, 165.62, 188.71, -47.517000, -2.039000, -0.299000
301.14, 165.62, 188.71, -47.516000, -2.046000, -0.297000
311.57, 165.62, 188.71, -47.517000, -2.054000, -0.302000
322.01, 165.62, 188.71, -47.508000, -2.055000, -0.310000
332.44, 165.62, 188.71, -47.510000, -2.053000, -0.314000
332.44, 176.05, 188.71, -47.510000, -2.062000, -0.300000
322.01, 176.05, 188.71, -47.522000, -2.067000, -0.294000
311.57, 176.05, 188.71, -47.520000, -2.055000, -0.283000
301.14, 176.05, 188.71, -47.524000, -2.047000, -0.281000
290.70, 176.05, 188.71, -47.523000, -2.041000, -0.281000
280.27, 176.05, 188.71, -47.519000, -2.030000, -0.283000
269.83, 176.05, 188.71, -47.523000, -2.031000, -0.280000
259.40, 176.05, 188.71, -47.517000, -2.031000, -0.283000
248.96, 176.05, 188.71, -47.516000, -2.011000, -0.285000
238.53, 176.05, 188.71, -47.520000, -2.018000, -0.285000
228.09, 176.05, 188.71, -47.523000, -2.004000, -0.282000
217.66, 176.05, 188.71, -47.525000, -1.994000, -0.281000
207.22, 176.05, 188.71, -47.529000, -1.987000, -0.292000
196.79, 176.05, 188.71, -47.531000, -1.987000, -0.280000
186.35, 186.49, 188.71, -47.543000, -1.983000, -0.292000
196.79, 186.49, 188.71, -47.538000, -2.002000, -0.292000
207.22, 186.49, 188.71, -47.532000, -1.992000, -0.296000
217.66, 186.49, 188.71, -47.524000, -2.007000, -0.289000
228.09, 186.49, 188.71, -47.520000, -2.009000, -0.291000
238.53, 186.49, 188.71, -47.515000, -2.019000, -0.274000
248.96, 186.49, 188.71, -47.516000, -2.027000, -0.287000
259.40, 186.49, 188.71, -47.516000, -2.022000, -0.269000
269.83, 186.49, 188.71, -47.519000, -2.039000, -0.271000
280.27, 186.49, 188.71, -47.523000, -2.035000, -0.274000
290.70, 186.49, 188.71, -47.522000, -2.053000, -0.280000
301.14, 186.49, 188.71, -47.526000, -2.064000, -0.285000
311.57, 186.49, 188.71, -47.530000, -2.057000, -0.281000
322.01, 186.49, 188.71, -47.524000, -2.069000, -0.289000
322.01, 196.92, 188.71, -47.538000, -2.084000, -0.276000
311.57, 196.92, 188.71, -47.536000, -2.076000, -0.270000
301.14, 196.92, 188.71, -47.533000, -2.068000, -0.257000
290.70, 196.92, 188.71, -47.529000, -2.056000, -0.252000
280.27, 196.92, 188.71, -47.519000, -2.046000, -0.250000
269.83, 196.92, 188.71, -47.520000, -2.044000, -0.258000
259.40, 196.92, 188.71, -47.514000, -2.026000, -0.265000
248.96, 196.92, 188.71, -47.515000, -2.018000, -0.271000
238.53, 196.92, 188.71, -47.514000, -2.008000, -0.283000
228.09, 196.92, 188.71, -47.518000, -2.014000, -0.283000
217.66, 196.92, 188.71, -47.517000, -2.003000, -0.278000
207.22, 196.92, 188.71, -47.528000, -2.006000, -0.292000
207.22, 207.36, 188.71, -47.527000, -1.999000, -0.302000
217.66, 207.36, 188.71, -47.519000, -1.999000, -0.283000
228.09, 207.36, 188.71, -47.509000, -2.007000, -0.286000
238.53, 207.36, 188.71, -47.511000, -2.016000, -0.283000
248.96, 207.36, 188.71, -47.509000, -2.025000, -0.280000
259.40, 207.36, 188.71, -47.505000, -2.031000, -0.263000
269.83, 207.36, 188.71, -47.511000, -2.031000, -0.253000
280.27, 207.36, 188.71, -47.521000, -2.042000, -0.240000
290.70, 207.36, 188.71, -47.526000, -2.051000, -0.233000
301.14, 207.36, 188.71, -47.534000, -2.074000, -0.232000
301.14, 217.79, 188.71, -47.530000, -2.077000, -0.207000
290.70, 217.79, 188.71, -47.521000, -2.052000, -0.214000
280.27, 217.79, 188.71, -47.508000, -2.041000, -0.221000
